City,State,Old_Bucket,City_Bucket,Final_Population,Instances
MEENAMBAKKAM,TAMIL NADU,Tier 6,Tier 4,24334,2156
MAHENDRAGARH,HARYANA,Tier 4,Tier 4,24323,1080
MAHAD,MAHARASHTRA,Tier 6,Tier 4,24276,39
LOHARDAGA,JHARKHAND,Tier 5,Tier 4,24125,144
ALUVA,KERALA,Tier 6,Tier 4,24110,281
TEHRI,UTTARANCHAL,Tier 6,Tier 4,24014,223
DEVANHALLI,KARNATAKA,Tier 6,Tier 4,24000,305
RAJGARH,MADHYA PRADESH,Tier 4,Tier 4,23937,230
RATIA,HARYANA,Tier 6,Tier 4,23826,94
VIDHYANAGAR,GUJARAT,Tier 6,Tier 4,23783,8
CHENGANNUR,KERALA,Tier 6,Tier 4,23456,91
RAJAM,ANDHRA PRADESH,Tier 6,Tier 4,23424,2
PALAMPUR,HIMACHAL PRADESH,Tier 6,Tier 4,23331,329
VAIKOM,KERALA,Tier 6,Tier 4,23234,88
MALKANGIRI,ORISSA,Tier 5,Tier 4,23114,84
ASIFABAD,ANDHRA PRADESH,Tier 6,Tier 4,23059,7
CHANDAULI,UTTAR PRADESH,Tier 3,Tier 3,23020,260
PONDA,GOA,Tier 6,Tier 4,23000,2457
CHHATRAPUR,ORISSA,Tier 6,Tier 4,23000,39
PALAI,KERALA,Tier 6,Tier 4,22640,207
PHILLAUR,PUNJAB,Tier 6,Tier 4,22302,27
ANKOLA,KARNATAKA,Tier 6,Tier 4,22249,9
KUSHINAGAR,UTTAR PRADESH,Tier 3,Tier 3,22214,902
PASIGHAT,ARUNACHAL PRADESH,Tier 6,Tier 4,21965,22
